Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 67.0.3396.87,,2018-06-26 12:54:21,2018-06-26 12:54:52,"31,129s",PASSED
,,,,,,
Test Cases/Offices,Chrome 67.0.3396.87,,2018-06-26 12:54:21,2018-06-26 12:54:52,"30,670s",PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-26 12:54:21,2018-06-26 12:54:24,"2,983s",PASSED
maximizeWindow,Chrome 67.0.3396.87,,2018-06-26 12:54:24,2018-06-26 12:54:26,"1,219s",PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-26 12:54:26,2018-06-26 12:54:28,"2,085s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:28,2018-06-26 12:54:28,"0,208s",PASSED
setEncryptedText,Chrome 67.0.3396.87,,2018-06-26 12:54:28,2018-06-26 12:54:28,"0,234s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:28,2018-06-26 12:54:31,"2,712s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:31,2018-06-26 12:54:32,"1,009s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:32,2018-06-26 12:54:32,"0,538s",PASSED
takeScreenshot,Chrome 67.0.3396.87,,2018-06-26 12:54:32,2018-06-26 12:54:33,"0,352s",PASSED
com.katalon.WebUICustomKeyword.uploadFile,Chrome 67.0.3396.87,,2018-06-26 12:54:33,2018-06-26 12:54:35,"2,174s",PASSED
takeScreenshot,Chrome 67.0.3396.87,,2018-06-26 12:54:35,2018-06-26 12:54:35,"0,467s",PASSED
delay,Chrome 67.0.3396.87,,2018-06-26 12:54:35,2018-06-26 12:54:36,"1,015s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:36,2018-06-26 12:54:37,"0,102s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:37,2018-06-26 12:54:42,"5,258s",PASSED
selectOptionByValue,Chrome 67.0.3396.87,,2018-06-26 12:54:42,2018-06-26 12:54:42,"0,201s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:42,2018-06-26 12:54:43,"0,602s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:43,2018-06-26 12:54:43,"0,104s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:43,2018-06-26 12:54:44,"1,479s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:44,2018-06-26 12:54:44,"0,098s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:44,2018-06-26 12:54:45,"0,678s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:45,2018-06-26 12:54:45,"0,261s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:45,2018-06-26 12:54:45,"0,070s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:45,2018-06-26 12:54:45,"0,099s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:45,2018-06-26 12:54:46,"0,569s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:46,2018-06-26 12:54:47,"0,732s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:47,2018-06-26 12:54:47,"0,090s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:47,2018-06-26 12:54:48,"0,776s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:48,2018-06-26 12:54:48,"0,673s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:48,2018-06-26 12:54:48,"0,100s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:48,2018-06-26 12:54:48,"0,089s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:48,2018-06-26 12:54:49,"0,085s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:49,2018-06-26 12:54:49,"0,085s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:49,2018-06-26 12:54:49,"0,084s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:49,2018-06-26 12:54:49,"0,095s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:49,2018-06-26 12:54:49,"0,084s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:49,2018-06-26 12:54:49,"0,085s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:49,2018-06-26 12:54:50,"1,299s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:50,2018-06-26 12:54:51,"0,322s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 12:54:51,2018-06-26 12:54:51,"0,092s",PASSED
click,Chrome 67.0.3396.87,,2018-06-26 12:54:51,2018-06-26 12:54:51,"0,476s",PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-26 12:54:51,2018-06-26 12:54:52,"0,656s",PASSED
