Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Firefox 59.0,,2018-06-26 12:57:14,2018-06-26 12:57:37,"22,898s",PASSED
,,,,,,
Test Cases/Offices,Firefox 59.0,,2018-06-26 12:57:14,2018-06-26 12:57:37,"22,496s",PASSED
openBrowser,Firefox 59.0,,2018-06-26 12:57:14,2018-06-26 12:57:18,"3,457s",PASSED
maximizeWindow,Firefox 59.0,,2018-06-26 12:57:18,2018-06-26 12:57:21,"3,537s",PASSED
navigateToUrl,Firefox 59.0,,2018-06-26 12:57:21,2018-06-26 12:57:22,"0,941s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:22,2018-06-26 12:57:22,"0,135s",PASSED
setEncryptedText,Firefox 59.0,,2018-06-26 12:57:22,2018-06-26 12:57:23,"0,197s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:23,2018-06-26 12:57:24,"1,050s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:24,2018-06-26 12:57:25,"0,829s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:25,2018-06-26 12:57:25,"0,305s",PASSED
takeScreenshot,Firefox 59.0,,2018-06-26 12:57:25,2018-06-26 12:57:25,"0,061s",PASSED
com.katalon.WebUICustomKeyword.uploadFile,Firefox 59.0,,2018-06-26 12:57:25,2018-06-26 12:57:27,"2,491s",PASSED
takeScreenshot,Firefox 59.0,,2018-06-26 12:57:27,2018-06-26 12:57:28,"0,188s",PASSED
delay,Firefox 59.0,,2018-06-26 12:57:28,2018-06-26 12:57:29,"1,017s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:29,2018-06-26 12:57:29,"0,277s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:29,2018-06-26 12:57:30,"1,339s",PASSED
selectOptionByValue,Firefox 59.0,,2018-06-26 12:57:30,2018-06-26 12:57:30,"0,218s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:30,2018-06-26 12:57:31,"0,395s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:31,2018-06-26 12:57:31,"0,038s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:31,2018-06-26 12:57:32,"0,812s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:32,2018-06-26 12:57:32,"0,735s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:32,2018-06-26 12:57:33,"0,411s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:33,2018-06-26 12:57:33,"0,227s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:33,2018-06-26 12:57:33,"0,235s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:33,2018-06-26 12:57:33,"0,066s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:33,2018-06-26 12:57:34,"0,493s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:34,2018-06-26 12:57:34,"0,240s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:34,2018-06-26 12:57:34,"0,054s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:34,2018-06-26 12:57:35,"0,419s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,254s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,055s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,038s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,039s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,039s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,036s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,034s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,032s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:35,"0,044s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:35,2018-06-26 12:57:36,"0,403s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:36,2018-06-26 12:57:36,"0,282s",PASSED
setText,Firefox 59.0,,2018-06-26 12:57:36,2018-06-26 12:57:36,"0,047s",PASSED
click,Firefox 59.0,,2018-06-26 12:57:36,2018-06-26 12:57:36,"0,412s",PASSED
closeBrowser,Firefox 59.0,,2018-06-26 12:57:36,2018-06-26 12:57:37,"0,235s",PASSED
