Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Firefox 59.0,,2018-06-26 13:01:19,2018-06-26 13:01:30,"11,305s",ERROR
,,,,,,
Test Cases/Offices,Firefox 59.0,,2018-06-26 13:01:19,2018-06-26 13:01:30,"10,873s",ERROR
openBrowser,Firefox 59.0,,2018-06-26 13:01:20,2018-06-26 13:01:23,"3,455s",PASSED
maximizeWindow,Firefox 59.0,,2018-06-26 13:01:23,2018-06-26 13:01:27,"3,531s",PASSED
navigateToUrl,Firefox 59.0,,2018-06-26 13:01:27,2018-06-26 13:01:28,"0,857s",PASSED
setText,Firefox 59.0,,2018-06-26 13:01:28,2018-06-26 13:01:28,"0,146s",PASSED
setEncryptedText,Firefox 59.0,,2018-06-26 13:01:28,2018-06-26 13:01:28,"0,218s",PASSED
click,Firefox 59.0,,2018-06-26 13:01:28,2018-06-26 13:01:29,"1,236s",PASSED
click,Firefox 59.0,,2018-06-26 13:01:29,2018-06-26 13:01:30,"0,786s",PASSED
click,Firefox 59.0,,2018-06-26 13:01:30,2018-06-26 13:01:30,"0,285s",PASSED
takeScreenshot,Firefox 59.0,,2018-06-26 13:01:30,2018-06-26 13:01:30,"0,062s",PASSED
com.katalon.WebUICustomKeyword.uploadFile,Firefox 59.0,,2018-06-26 13:01:30,2018-06-26 13:01:30,"0,009s",ERROR
