Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Firefox 59.0,,2018-07-17 09:19:48,2018-07-17 09:20:39,"51,269s",PASSED
,,,,,,
Test Cases/Offices,Firefox 59.0,,2018-07-17 09:19:48,2018-07-17 09:20:39,"50,999s",PASSED
openBrowser,Firefox 59.0,,2018-07-17 09:19:49,2018-07-17 09:19:52,"3,442s",PASSED
maximizeWindow,Firefox 59.0,,2018-07-17 09:19:52,2018-07-17 09:19:52,"0,036s",PASSED
navigateToUrl,Firefox 59.0,,2018-07-17 09:19:52,2018-07-17 09:19:53,"1,137s",PASSED
setText,Firefox 59.0,,2018-07-17 09:19:53,2018-07-17 09:19:53,"0,147s",PASSED
setEncryptedText,Firefox 59.0,,2018-07-17 09:19:53,2018-07-17 09:19:54,"0,217s",PASSED
click,Firefox 59.0,,2018-07-17 09:19:54,2018-07-17 09:19:59,"5,281s",PASSED
click,Firefox 59.0,,2018-07-17 09:19:59,2018-07-17 09:20:22,"23,059s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:22,2018-07-17 09:20:22,"0,269s",PASSED
takeScreenshot,Firefox 59.0,,2018-07-17 09:20:22,2018-07-17 09:20:22,"0,105s",PASSED
com.katalon.WebUICustomKeyword.uploadFile,Firefox 59.0,,2018-07-17 09:20:22,2018-07-17 09:20:25,"2,484s",PASSED
delay,Firefox 59.0,,2018-07-17 09:20:25,2018-07-17 09:20:26,"1,038s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:26,2018-07-17 09:20:26,"0,292s",PASSED
verifyElementPresent,Firefox 59.0,,2018-07-17 09:20:26,2018-07-17 09:20:31,"5,200s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:31,2018-07-17 09:20:32,"0,372s",PASSED
selectOptionByValue,Firefox 59.0,,2018-07-17 09:20:32,2018-07-17 09:20:32,"0,211s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:32,2018-07-17 09:20:32,"0,467s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:32,2018-07-17 09:20:33,"0,751s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:33,2018-07-17 09:20:34,"0,739s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:34,2018-07-17 09:20:34,"0,397s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:34,2018-07-17 09:20:35,"0,397s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:35,2018-07-17 09:20:35,"0,246s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:35,2018-07-17 09:20:35,"0,059s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:35,2018-07-17 09:20:35,"0,420s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:35,2018-07-17 09:20:36,"0,533s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:36,2018-07-17 09:20:36,"0,093s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:36,2018-07-17 09:20:36,"0,390s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:36,2018-07-17 09:20:37,"1,002s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:37,2018-07-17 09:20:38,"0,049s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:38,"0,043s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:38,"0,040s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:38,"0,042s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:38,"0,043s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:38,"0,039s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:38,"0,038s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:38,"0,041s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:38,"0,412s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:38,2018-07-17 09:20:39,"0,524s",PASSED
setText,Firefox 59.0,,2018-07-17 09:20:39,2018-07-17 09:20:39,"0,052s",PASSED
click,Firefox 59.0,,2018-07-17 09:20:39,2018-07-17 09:20:39,"0,380s",PASSED
closeBrowser,Firefox 59.0,,2018-07-17 09:20:39,2018-07-17 09:20:39,"0,216s",PASSED
