Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 67.0.3396.87,,2018-06-27 11:22:43,2018-06-27 11:23:03,"19,717s",PASSED
,,,,,,
Test Cases/Offices,Chrome 67.0.3396.87,,2018-06-27 11:22:44,2018-06-27 11:23:03,"19,318s",PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-27 11:22:44,2018-06-27 11:22:47,"2,792s",PASSED
maximizeWindow,Chrome 67.0.3396.87,,2018-06-27 11:22:47,2018-06-27 11:22:48,"1,167s",PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-27 11:22:48,2018-06-27 11:22:49,"0,924s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:22:49,2018-06-27 11:22:49,"0,202s",PASSED
setEncryptedText,Chrome 67.0.3396.87,,2018-06-27 11:22:49,2018-06-27 11:22:49,"0,228s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:49,2018-06-27 11:22:50,"0,598s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:50,2018-06-27 11:22:50,"0,689s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:50,2018-06-27 11:22:51,"0,278s",PASSED
takeScreenshot,Chrome 67.0.3396.87,,2018-06-27 11:22:51,2018-06-27 11:22:51,"0,348s",PASSED
com.katalon.WebUICustomKeyword.uploadFile,Chrome 67.0.3396.87,,2018-06-27 11:22:51,2018-06-27 11:22:53,"2,168s",PASSED
delay,Chrome 67.0.3396.87,,2018-06-27 11:22:53,2018-06-27 11:22:54,"1,041s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:54,2018-06-27 11:22:54,"0,140s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:54,2018-06-27 11:22:56,"1,854s",PASSED
selectOptionByValue,Chrome 67.0.3396.87,,2018-06-27 11:22:56,2018-06-27 11:22:57,"0,201s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:57,2018-06-27 11:22:57,"0,348s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:57,2018-06-27 11:22:57,"0,090s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:57,2018-06-27 11:22:58,"1,110s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:58,2018-06-27 11:22:58,"0,088s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:58,2018-06-27 11:22:59,"0,382s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:59,2018-06-27 11:22:59,"0,561s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:59,2018-06-27 11:22:59,"0,068s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:22:59,2018-06-27 11:22:59,"0,089s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:22:59,2018-06-27 11:23:00,"0,349s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:23:00,2018-06-27 11:23:00,"0,262s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:00,2018-06-27 11:23:00,"0,087s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:23:00,2018-06-27 11:23:00,"0,362s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:23:00,2018-06-27 11:23:01,"0,248s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:01,"0,090s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:01,"0,081s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:01,"0,075s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:01,"0,084s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:01,"0,080s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:01,"0,077s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:01,"0,086s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:01,"0,076s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:23:01,2018-06-27 11:23:02,"0,368s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:23:02,2018-06-27 11:23:02,"0,243s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-27 11:23:02,2018-06-27 11:23:02,"0,085s",PASSED
click,Chrome 67.0.3396.87,,2018-06-27 11:23:02,2018-06-27 11:23:02,"0,414s",PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-27 11:23:02,2018-06-27 11:23:03,"0,643s",PASSED
