Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 67.0.3396.79,,2018-06-18 10:01:03,2018-06-18 10:01:19,"16,611s",PASSED
,,,,,,
Test Cases/New Test Case,Chrome 67.0.3396.79,,2018-06-18 10:01:03,2018-06-18 10:01:19,"16,137s",PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-18 10:01:03,2018-06-18 10:01:06,"2,869s",PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-18 10:01:06,2018-06-18 10:01:08,"1,148s",PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-18 10:01:08,2018-06-18 10:01:08,"0,774s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:08,2018-06-18 10:01:09,"0,217s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:09,2018-06-18 10:01:09,"0,121s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:09,2018-06-18 10:01:09,"0,600s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:09,2018-06-18 10:01:10,"0,694s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:10,2018-06-18 10:01:10,"0,240s",PASSED
com.katalon.WebUICustomKeyword.uploadFile,Chrome 67.0.3396.79,,2018-06-18 10:01:10,2018-06-18 10:01:11,"1,199s",PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-18 10:01:11,2018-06-18 10:01:11,"0,101s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:11,2018-06-18 10:01:12,"0,108s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:12,2018-06-18 10:01:13,"1,379s",PASSED
selectOptionByValue,Chrome 67.0.3396.79,,2018-06-18 10:01:13,2018-06-18 10:01:13,"0,185s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:13,2018-06-18 10:01:14,"0,408s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:14,2018-06-18 10:01:14,"0,092s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:14,2018-06-18 10:01:14,"0,831s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:14,2018-06-18 10:01:15,"0,116s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:15,2018-06-18 10:01:15,"0,391s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:15,2018-06-18 10:01:15,"0,242s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:15,2018-06-18 10:01:15,"0,075s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:15,2018-06-18 10:01:15,"0,104s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:15,2018-06-18 10:01:16,"0,363s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:16,2018-06-18 10:01:16,"0,331s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:16,2018-06-18 10:01:16,"0,100s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:16,2018-06-18 10:01:17,"0,358s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,243s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,089s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,084s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,083s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,077s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,078s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,089s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,079s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:17,"0,079s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:17,2018-06-18 10:01:18,"0,420s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:18,2018-06-18 10:01:18,"0,237s",PASSED
setText,Chrome 67.0.3396.79,,2018-06-18 10:01:18,2018-06-18 10:01:18,"0,082s",PASSED
click,Chrome 67.0.3396.79,,2018-06-18 10:01:18,2018-06-18 10:01:19,"0,360s",PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-18 10:01:19,2018-06-18 10:01:19,"0,668s",PASSED
