Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 67.0.3396.87,,2018-06-19 09:06:11,2018-06-19 09:06:30,"19,551s",PASSED
,,,,,,
Test Cases/New Test Case,Chrome 67.0.3396.87,,2018-06-19 09:06:11,2018-06-19 09:06:30,"19,169s",PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-19 09:06:11,2018-06-19 09:06:14,"2,646s",PASSED
maximizeWindow,Chrome 67.0.3396.87,,2018-06-19 09:06:14,2018-06-19 09:06:15,"1,164s",PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-19 09:06:15,2018-06-19 09:06:16,"0,763s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:16,2018-06-19 09:06:16,"0,197s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:16,2018-06-19 09:06:16,"0,120s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:16,2018-06-19 09:06:17,"0,567s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:17,2018-06-19 09:06:18,"0,721s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:18,2018-06-19 09:06:18,"0,269s",PASSED
com.katalon.WebUICustomKeyword.uploadFile,Chrome 67.0.3396.87,,2018-06-19 09:06:18,2018-06-19 09:06:19,"1,201s",PASSED
waitForElementPresent,Chrome 67.0.3396.87,,2018-06-19 09:06:19,2018-06-19 09:06:19,"0,101s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:19,2018-06-19 09:06:19,"0,107s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:19,2018-06-19 09:06:23,"3,702s",PASSED
selectOptionByValue,Chrome 67.0.3396.87,,2018-06-19 09:06:23,2018-06-19 09:06:23,"0,203s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:23,2018-06-19 09:06:24,"0,601s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:24,2018-06-19 09:06:24,"0,103s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:24,2018-06-19 09:06:25,"1,060s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:25,2018-06-19 09:06:25,"0,125s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:25,2018-06-19 09:06:25,"0,368s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:25,2018-06-19 09:06:26,"0,375s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:26,2018-06-19 09:06:26,"0,076s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:26,2018-06-19 09:06:26,"0,111s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:26,2018-06-19 09:06:26,"0,397s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:26,2018-06-19 09:06:27,"0,275s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:27,2018-06-19 09:06:27,"0,115s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:27,2018-06-19 09:06:27,"0,415s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:27,2018-06-19 09:06:28,"0,336s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:28,"0,100s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:28,"0,091s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:28,"0,088s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:28,"0,081s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:28,"0,082s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:28,"0,090s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:28,"0,079s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:28,"0,081s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:28,2018-06-19 09:06:29,"0,396s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:29,2018-06-19 09:06:29,"0,405s",PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 09:06:29,2018-06-19 09:06:29,"0,090s",PASSED
click,Chrome 67.0.3396.87,,2018-06-19 09:06:29,2018-06-19 09:06:30,"0,414s",PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-19 09:06:30,2018-06-19 09:06:30,"0,664s",PASSED
